285945203;41.14743;-8.620568;-0.1504573;0.7181581
475561984;41.14614;-8.618818;-0.1504268;0.7181356
475561985;41.14608;-8.618615;-0.1504232;0.7181346
475561986;41.14602;-8.618589;-0.1504228;0.7181335
475561987;41.14532;-8.618406;-0.1504196;0.7181214
1684865532;41.14464;-8.622527;-0.1504915;0.7181094
1684865535;41.14611;-8.620169;-0.1504503;0.7181351
1684865543;41.14734;-8.620405;-0.1504544;0.7181565
1386063694;41.14756;-8.62015;-0.15045;0.7181605
1386063702;41.1475;-8.620217;-0.1504512;0.7181594
25632228;41.15023;-8.623061;-0.1505008;0.7182069
1693766962;41.14869;-8.619292;-0.150435;0.7181801
1693766968;41.14875;-8.619432;-0.1504375;0.7181811
1693766973;41.14877;-8.619485;-0.1504384;0.7181814
1693766976;41.14876;-8.619536;-0.1504393;0.7181814
1693766989;41.14863;-8.619193;-0.1504333;0.718179
1693766965;41.14869;-8.619748;-0.150443;0.7181801
1693766970;41.14863;-8.619265;-0.1504346;0.718179
1693766987;41.14857;-8.619416;-0.1504372;0.718178
1386063711;41.14792;-8.619706;-0.1504423;0.7181667
25632229;41.14937;-8.622926;-0.1504984;0.718192
1788784961;41.14454;-8.617477;-0.1504034;0.7181078
1788784962;41.14457;-8.617612;-0.1504057;0.7181081
1788784963;41.1446;-8.617819;-0.1504093;0.7181088
1788784968;41.14465;-8.617995;-0.1504124;0.7181097
1788784994;41.14491;-8.623543;-0.1505092;0.7181141
1788785022;41.14535;-8.626122;-0.1505542;0.7181218
1788784977;41.14482;-8.617176;-0.1503981;0.7181126
1788785075;41.14569;-8.623932;-0.150516;0.7181278
1788785058;41.14564;-8.623899;-0.1505154;0.7181268
1110673598;41.14753;-8.621332;-0.1504706;0.7181598
138218143;41.14575;-8.624546;-0.1505267;0.7181289
138218145;41.14698;-8.624776;-0.1505307;0.7181503
138216828;41.14811;-8.624231;-0.1505212;0.71817
1386063713;41.14779;-8.619824;-0.1504443;0.7181644
138218140;41.14571;-8.624046;-0.150518;0.718128
128677718;41.14862;-8.625215;-0.1505384;0.718179
